date,price
2014 Mar 6 1 53 12,10148
2014 Mar 6 2 07 36,10442
2014 Mar 6 2 22 00,10742
2014 Mar 6 2 36 24,11049
2014 Mar 6 2 50 48,11362
2014 Mar 6 3 05 12,11681
2014 Mar 6 3 19 36,12007
2014 Mar 6 3 34 00,12338
2014 Mar 6 3 48 24,12676
2014 Mar 6 4 02 48,13019
2014 Mar 6 4 17 12,13369
2014 Mar 6 4 31 36,13725
2014 Mar 6 4 46 00,14086
2014 Mar 6 5 00 24,14453
2014 Mar 6 5 14 48,14826
2014 Mar 6 5 29 12,15204
2014 Mar 6 5 43 36,15587
2014 Mar 6 5 58 00,15976
2014 Mar 6 6 12 24,16370
2014 Mar 6 6 26 48,16769
2014 Mar 6 6 41 12,17173
2014 Mar 6 6 55 36,17581
2014 Mar 6 7 10 00,17993
2014 Mar 6 7 24 24,18410
2014 Mar 6 7 38 48,18831
2014 Mar 6 7 53 12,19255
2014 Mar 6 8 07 36,19683
2014 Mar 6 8 22 00,20114
2014 Mar 6 8 36 24,20548
2014 Mar 6 8 50 48,20986
2014 Mar 6 9 05 12,21425
2014 Mar 6 9 19 36,21867
2014 Mar 6 9 34 00,22311
2014 Mar 6 9 48 24,22757
2014 Mar 6 10 02 48,23204
2014 Mar 6 10 17 12,23652
2014 Mar 6 10 31 36,24101
2014 Mar 6 10 46 00,24551
2014 Mar 6 11 00 24,25000
2014 Mar 6 11 14 48,25450
2014 Mar 6 11 29 12,25900
2014 Mar 6 11 43 36,26349
2014 Mar 6 11 58 00,26797
2014 Mar 6 12 12 24,27244
2014 Mar 6 12 26 48,27690
2014 Mar 6 12 41 12,28134
2014 Mar 6 12 55 36,28576
2014 Mar 6 13 10 00,29015
2014 Mar 6 13 24 24,29453
2014 Mar 6 13 38 48,29887
2014 Mar 6 13 53 12,30318
2014 Mar 6 14 07 36,30746
2014 Mar 6 14 22 00,31170
2014 Mar 6 14 36 24,31591
2014 Mar 6 14 50 48,32008
2014 Mar 6 15 05 12,32420
2014 Mar 6 15 19 36,32828
2014 Mar 6 15 34 00,33232
2014 Mar 6 15 48 24,33631
2014 Mar 6 16 02 48,34025
2014 Mar 6 16 17 12,34414
2014 Mar 6 16 31 36,34797
2014 Mar 6 16 46 00,35175
2014 Mar 6 17 00 24,35548
2014 Mar 6 17 14 48,35915
2014 Mar 6 17 29 12,36276
2014 Mar 6 17 43 36,36632
2014 Mar 6 17 58 00,36982
2014 Mar 6 18 12 24,37325
2014 Mar 6 18 26 48,37663
2014 Mar 6 18 41 12,37994
2014 Mar 6 18 55 36,38320
2014 Mar 6 19 10 00,38639
2014 Mar 6 19 24 24,38952
2014 Mar 6 19 38 48,39259
2014 Mar 6 19 53 12,39559
2014 Mar 6 20 07 36,39853
2014 Mar 6 20 22 00,40141
2014 Mar 6 20 36 24,40423
2014 Mar 6 20 50 48,40699
2014 Mar 6 21 05 12,40968
2014 Mar 6 21 19 36,41232
2014 Mar 6 21 34 00,41489
2014 Mar 6 21 48 24,41740
2014 Mar 6 22 02 48,41986
2014 Mar 6 22 17 12,42225
2014 Mar 6 22 31 36,42458
2014 Mar 6 22 46 00,42686
2014 Mar 6 23 00 24,42908
2014 Mar 6 23 14 48,43124
2014 Mar 6 23 29 12,43335
2014 Mar 6 23 43 36,43540
2014 Mar 6 23 58 00,43740
2014 Mar 7 0 12 24,43935
2014 Mar 7 0 26 48,44124
2014 Mar 7 0 41 12,44308
2014 Mar 7 0 55 36,44487
2014 Mar 7 1 10 00,44661
2014 Mar 7 1 24 24,44830
2014 Mar 7 1 38 48,44995
2014 Mar 7 1 53 12,45155
2014 Mar 7 2 07 36,45310
2014 Mar 7 2 22 00,45461
2014 Mar 7 2 36 24,45607
2014 Mar 7 2 50 48,45749
2014 Mar 7 3 05 12,45887
2014 Mar 7 3 19 36,46021
2014 Mar 7 3 34 00,46151
2014 Mar 7 3 48 24,46277
2014 Mar 7 4 02 48,46399
2014 Mar 7 4 17 12,46518
2014 Mar 7 4 31 36,46633
2014 Mar 7 4 46 00,46744
2014 Mar 7 5 00 24,46852
2014 Mar 7 5 14 48,46956
2014 Mar 7 5 29 12,47058
2014 Mar 7 5 43 36,47156
2014 Mar 7 5 58 00,47251
2014 Mar 7 6 12 24,47343
2014 Mar 7 6 26 48,47432
2014 Mar 7 6 41 12,47518
2014 Mar 7 6 55 36,47602
2014 Mar 7 7 10 00,47683
2014 Mar 7 7 24 24,47761
2014 Mar 7 7 38 48,47837
2014 Mar 7 7 53 12,47910
2014 Mar 7 8 07 36,47981
2014 Mar 7 8 22 00,48050
2014 Mar 7 8 36 24,48116
2014 Mar 7 8 50 48,48180
2014 Mar 7 9 05 12,48242
2014 Mar 7 9 19 36,48302
2014 Mar 7 9 34 00,48361
2014 Mar 7 9 48 24,48417
2014 Mar 7 10 02 48,48471
2014 Mar 7 10 17 12,48523
2014 Mar 7 10 31 36,48574
2014 Mar 7 10 46 00,48623
2014 Mar 7 11 00 24,48671
2014 Mar 7 11 14 48,48716
2014 Mar 7 11 29 12,48761
2014 Mar 7 11 43 36,48804
2014 Mar 7 11 58 00,48845
2014 Mar 7 12 12 24,48885
2014 Mar 7 12 26 48,48923
2014 Mar 7 12 41 12,48961
2014 Mar 7 12 55 36,48997
2014 Mar 7 13 10 00,49032
2014 Mar 7 13 24 24,49065
2014 Mar 7 13 38 48,49098
2014 Mar 7 13 53 12,49129
2014 Mar 7 14 07 36,49159
2014 Mar 7 14 22 00,49189
2014 Mar 7 14 36 24,49217
2014 Mar 7 14 50 48,49244
2014 Mar 7 15 05 12,49270
2014 Mar 7 15 19 36,49296
2014 Mar 7 15 34 00,49321
2014 Mar 7 15 48 24,49344
2014 Mar 7 16 02 48,49367
2014 Mar 7 16 17 12,49389
2014 Mar 7 16 31 36,49411
2014 Mar 7 16 46 00,49431
2014 Mar 7 17 00 24,49451
2014 Mar 7 17 14 48,49470
2014 Mar 7 17 29 12,49489
2014 Mar 7 17 43 36,49507
2014 Mar 7 17 58 00,49524
2014 Mar 7 18 12 24,49541
2014 Mar 7 18 26 48,49557
2014 Mar 7 18 41 12,49572
2014 Mar 7 18 55 36,49587
2014 Mar 7 19 10 00,49602
2014 Mar 7 19 24 24,49616
2014 Mar 7 19 38 48,49629
2014 Mar 7 19 53 12,49642
2014 Mar 7 20 07 36,49655
2014 Mar 7 20 22 00,49667
2014 Mar 7 20 36 24,49679
2014 Mar 7 20 50 48,49690
2014 Mar 7 21 05 12,49701
2014 Mar 7 21 19 36,49712
2014 Mar 7 21 34 00,49722
2014 Mar 7 21 48 24,49732
2014 Mar 7 22 02 48,49741
2014 Mar 7 22 17 12,49750
2014 Mar 7 22 31 36,49759
2014 Mar 7 22 46 00,49767
